전철역명,호선,,다른이름
종로3가,1호선,,
노량진,1호선,,
신길,1호선,,
청산,1호선,,
대방,1호선,,
소요산,1호선,,
시청,1호선,,
서울역,1호선,,
지행,1호선,,
동두천,1호선,,
동두천중앙,1호선,,
구로,1호선,,
창동,1호선,,
화서,1호선,,
의왕,1호선,,
남영,1호선,,
용산,1호선,,
봉명,1호선,,
쌍용,1호선,,
아산,1호선,,
탕정,1호선,,
배방,1호선,,
금정,1호선,,
영등포,1호선,,
신도림,1호선,,
송내,1호선,,
외대앞,1호선,,
신이문,1호선,,
온양온천,1호선,,
신창,1호선,,
회기,1호선,,
부천,1호선,,
역곡,1호선,,
서동탄,1호선,,
망월사,1호선,,
당정,1호선,,
도봉산,1호선,,
도봉,1호선,,
방학,1호선,,
성균관대,1호선,,
광명,1호선,,
평택,1호선,,
평택지제,1호선,,
서정리,1호선,,
송탄,1호선,,
오산,1호선,,
오산대,1호선,,
세마,1호선,,
동묘앞,1호선,,
병점,1호선,,
세류,1호선,,
독산,1호선,,
도화,1호선,,
중동,1호선,,
온수,1호선,,
가산디지털단지,1호선,,
금천구청,1호선,,
석계,1호선,,
광운대,1호선,,
도원,1호선,,
월계,1호선,,
관악,1호선,,
간석,1호선,,
부개,1호선,,
소사,1호선,,
구일,1호선,,
청량리,1호선,,
제기동,1호선,,
신설동,1호선,,
동대문,1호선,,
종로5가,1호선,,
종각,1호선,,
녹천,1호선,,
인천,1호선,,
석수,1호선,,
동인천,1호선,,
제물포,1호선,,
주안,1호선,,
동암,1호선,,
백운,1호선,,
부평,1호선,,
오류동,1호선,,
개봉,1호선,,
천안,1호선,,
두정,1호선,,
직산,1호선,,
회룡,1호선,,
의정부,1호선,,
가능,1호선,,
녹양,1호선,,
양주,1호선,,
덕계,1호선,,
덕정,1호선,,
보산,1호선,,
성환,1호선,,
진위,1호선,,
안양,1호선,,
수원,1호선,,
연천,1호선,,
명학,1호선,,
군포,1호선,,
전곡,1호선,,
영등포구청,2호선,,
역삼,2호선,,
